x_N2_train,y_N2_train,x_N2_valid,y_N2_valid,x_H2_2.5,y_H2_2.5,x_H2_10,y_H2_10
3.902221798421253e-07,1986081.2959656392,3.4239160023969494e-07,5729508.951551918,1.133655616352971e-06,404195.81196730403,8.419582060371333e-07,674187.6342877875
3.930586789891103e-07,1966581.4563542572,3.4396624237489435e-07,5158448.154568531,1.1505664406176667e-06,380487.75904515747,8.527973500866612e-07,637004.4944826076
3.958951781360953e-07,1942273.9923600268,3.4554088451009376e-07,4653733.762311303,1.1674772648823624e-06,353444.41241390083,8.636364941361891e-07,599582.8954746181
3.9873167728308023e-07,1914904.7780722044,3.4711552664529323e-07,4220653.7166836,1.1843880891470582e-06,323587.5793502745,8.74475638185717e-07,562269.0091175331
4.0156817643006517e-07,1886238.6144560138,3.4869016878049264e-07,3859093.163872114,1.201298913411754e-06,291753.3874872202,8.853147822352449e-07,525527.6427368599
4.0440467557705015e-07,1857780.9698645237,3.5026481091569205e-07,3564453.776039156,1.2182097376764497e-06,259020.61764926807,8.961539262847727e-07,489948.199419634
4.0724117472403514e-07,1830584.6162872815,3.5183945305089147e-07,3328857.10010285,1.2351205619411453e-06,226594.9365011627,9.069930703343006e-07,456213.6424717891
4.100776738710201e-07,1805173.3304904718,3.534140951860909e-07,3142423.723439486,1.252031386205841e-06,195672.2857483961,9.178322143838285e-07,425036.9337515323
4.12914173018005e-07,1781586.6698163282,3.549887373212903e-07,2994469.105055644,1.2689422104705368e-06,167307.80306381854,9.286713584333564e-07,397076.6165181192
4.1575067216499e-07,1759520.6015092798,3.565633794564897e-07,2874515.8820930873,1.2858530347352326e-06,142313.23317727604,9.395105024828843e-07,372847.4052654657
4.1858717131197494e-07,1738516.258033774,3.5813802159168917e-07,2773075.0356534566,1.3027638589999283e-06,121197.4388675497,9.503496465324122e-07,352642.2581262032
4.2142367045895993e-07,1718139.554610658,3.597126637268886e-07,2682186.5947904624,1.319674683264624e-06,104154.1306813216,9.6118879058194e-07,336479.77292346663
4.2426016960594486e-07,1698100.5570049207,3.6128730586208805e-07,2595734.1824773317,1.3365855075293197e-06,91091.28675009788,9.72027934631468e-07,324085.84034639574
4.270966687529298e-07,1678281.618016398,3.6286194799728746e-07,2509560.445511565,1.3534963317940154e-06,81690.18035552418,9.82867078680996e-07,314912.5576341294
4.299331678999148e-07,1658671.7452562843,3.644365901324869e-07,2421416.6461645314,1.3704071560587112e-06,75479.42503289506,9.937062227305238e-07,308191.6313537534
4.327696670468998e-07,1639233.448831954,3.660112322676863e-07,2330782.2445263164,1.387317980323407e-06,71910.59019311238,1.0045453667800516e-06,303014.74580455245
4.356061661938847e-07,1619749.4322953904,3.675858744028857e-07,2238590.1517548393,1.4042288045881025e-06,70425.40154000768,1.0153845108295794e-06,298430.11585426633
4.384426653408697e-07,1599704.0712308465,3.691605165380851e-07,2146890.6766345957,1.4211396288527983e-06,70508.69911247469,1.0262236548791072e-06,293542.80854626326
4.4127916448785464e-07,1578246.4895858224,3.7073515867328453e-07,2058482.6321695494,1.438050453117494e-06,71724.88803445711,1.0370627989286354e-06,287606.3279062421
4.441156636348396e-07,1554260.2187022301,3.72309800808484e-07,1976535.0921200924,1.4549612773821898e-06,73737.97355626733,1.0479019429781632e-06,280094.26324672997
4.4695216278182456e-07,1526534.5967890671,3.738844429436834e-07,1904219.6438914137,1.4718721016468856e-06,76316.50645210105,1.058741087027691e-06,270743.35438893805
4.4978866192880955e-07,1494003.154617614,3.7545908507888287e-07,1844371.563764188,1.4887829259115811e-06,79325.37907483103,1.0695802310772188e-06,259562.95409052284
4.526251610757945e-07,1455992.3859249828,3.770337272140823e-07,1799198.3371589924,1.505693750176277e-06,82706.93765565113,1.080419375126747e-06,246810.27841454605
4.554616602227795e-07,1412416.7781526572,3.786083693492817e-07,1770053.0403006547,1.5226045744409727e-06,86454.56498907274,1.0912585191762748e-06,232935.53808459511
4.582981593697644e-07,1363865.3959232443,3.801830114844811e-07,1757285.7420236738,1.5395153987056684e-06,90582.61409072205,1.1020976632258026e-06,218505.34435737238
4.6113465851674935e-07,1311549.7334355698,3.817576536196805e-07,1760177.270465294,1.556426222970364e-06,95096.96343627002,1.1129368072753304e-06,204115.90579687385
4.6397115766373434e-07,1257115.8097643107,3.8333229575487994e-07,1776948.184171849,1.5733370472350598e-06,99970.15833651985,1.1237759513248582e-06,190308.82855878002
4.6680765681071927e-07,1202356.7486928068,3.8490693789007935e-07,1804825.9252670957,1.5902478714997555e-06,105124.00507561734,1.1346150953743864e-06,177501.4926616368
4.6964415595770426e-07,1148886.410265538,3.864815800252788e-07,1840149.9835666697,1.6071586957644513e-06,110420.86482300272,1.1454542394239142e-06,165941.1501981446
4.724806551046892e-07,1097843.6497723162,3.8805622216047823e-07,1878501.4967413186,1.624069520029147e-06,115663.29069171054,1.156293383473442e-06,155687.6615160245
4.753171542516742e-07,1049688.6193882078,3.8963086429567764e-07,1914858.6929390868,1.6409803442938426e-06,120600.61805459514,1.1671325275229697e-06,146625.00662105507
4.781536533986591e-07,1004130.3063598974,3.912055064308771e-07,1943796.6563357627,1.6578911685585384e-06,124940.94881565828,1.177971671572498e-06,138497.28006041283
4.809901525456441e-07,960195.0205540885,3.927801485660765e-07,1959759.7981539676,1.6748019928232341e-06,128367.53424155549,1.1888108156220257e-06,130961.53356180829
4.83826651692629e-07,916416.8304892629,3.9435479070127593e-07,1957429.866280906,1.69171281708793e-06,130559.34457845884,1.1996499596715535e-06,123648.0168463277
4.866631508396141e-07,871109.6017629048,3.9592943283647535e-07,1932188.359484795,1.7086236413526257e-06,131215.95788475437,1.2104891037210813e-06,116218.20676168718
4.89499649986599e-07,822669.7145508388,3.9750407497167476e-07,1880634.785148697,1.7255344656173212e-06,130086.3309541347,1.2213282477706091e-06,108412.3493668033
4.92336149133584e-07,769858.629932431,3.9907871710687417e-07,1801083.5367385205,1.742445289882017e-06,126999.51052760228,1.2321673918201373e-06,100080.7007294395
4.951726482805689e-07,712022.7007208616,4.006533592420736e-07,1693937.6706101308,1.7593561141467128e-06,121893.40675853979,1.2430065358696651e-06,91195.74289051746
4.980091474275538e-07,649220.670462138,4.0222800137727305e-07,1561840.0539357718,1.7762669384114085e-06,114836.23844997061,1.253845679919193e-06,81845.8254118202
5.008456465745388e-07,582244.443015534,4.0380264351247246e-07,1409535.3903223267,1.7931777626761043e-06,106035.02355069283,1.2646848239687207e-06,72213.42589374585
5.036821457215238e-07,512534.2290826789,4.0537728564767193e-07,1243433.8336402774,1.8100885869407998e-06,95826.99398560362,1.275523968018249e-06,62543.13296497171
5.065186448685087e-07,442003.97033375734,4.0695192778287134e-07,1070932.5704563698,1.8269994112054956e-06,84652.89550673234,1.2863631120677767e-06,53105.309136284166
